TOTAL_QUANTITY,PRACTICE_CODE,ITEMS,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_CHAPTER_PLUS_CODE,POSTCODE,YEAR_MONTH,NIC,ADQUSAGE,PRACTICE_NAME,ACTUAL_COST,BNF_DESCRIPTION,QUANTITY,PRACTICE_LATITUDE,PRACTICE_LONGITUDE
672,F84062,6,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Jul,19.92,224,THE CHRISP STREET HTH CTR,18.73545,Metformin 500mg modified-release tablets,112,51.5141762,-0.0143071
336,F84062,6,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Jul,13.5,224,THE CHRISP STREET HTH CTR,12.7212,Metformin 1g modified-release tablets,56,51.5141762,-0.0143071
7336,F84062,262,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Jul,206.98,2445.33333,THE CHRISP STREET HTH CTR,197.14759,Metformin 500mg tablets,28,51.5141762,-0.0143071
168,F84031,1,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Jul,4.98,56,THE JUBILEE STREET PRACTICE LTD,4.67766,Metformin 500mg modified-release tablets,168,51.5135999,-0.05055
756,F84122,3,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Jul,16.89,428.4,XX PLACE HEALTH CENTRE,16.15975,Metformin 850mg tablets,252,51.52468015,-0.04266905
252,F84122,3,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Jul,7.47,84,XX PLACE HEALTH CENTRE,7.33509,Metformin 500mg modified-release tablets,84,51.52468015,-0.04266905
882,F84087,42,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Jul,24.78,294,HARFORD HEALTH CENTRE,27.9347,Metformin 500mg tablets,21,51.51835505,-0.03830635
840,F84718,5,Metformin hydrochloride,06: Endocrine System,E2 6JA,23-Jul,18.75,476,THE BLITHEHALE MED.CTR.,17.62699,Metformin 850mg tablets,168,51.52377,-0.0651999
112,Y03023,16,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Jul,3.2,37.33333,ST ANDREWS HEALTH CENTRE,4.79616,Metformin 500mg tablets,7,51.5238708,-0.014907
112,F84034,1,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Jul,4.96,37.33333,ST.STEPHENS HEALTH CENTRE,4.65893,Sukkarto SR 500mg tablets,112,51.5321726,-0.03100495
60,F84025,1,Metformin hydrochloride/vildagliptin,06: Endocrine System,E14 0EY,23-Jul,35.68,0,GOUGH WALK PRACTICE,33.43741,Vildagliptin 50mg / Metformin 850mg tablets,60,51.51021763,-0.012408367
1960,F84747,35,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Jul,55.3,653.33333,THE BARKANTINE PRACTICE,52.23902,Metformin 500mg tablets,56,51.50071373,-0.025713573
84,F84012,6,Metformin hydrochloride,06: Endocrine System,E1 1BU,23-Jul,3.36,56,ALBION HEALTH CENTRE,3.82205,Metformin 1g modified-release tablets,14,51.51994993,-0.057492667
504,F84034,3,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Jul,11.25,285.6,ST.STEPHENS HEALTH CENTRE,10.5762,Metformin 850mg tablets,168,51.5321726,-0.03100495
168,F84714,1,Metformin hydrochloride,06: Endocrine System,E14 7LJ,23-Jul,4.98,56,ST.PAUL'S WAY MEDICAL CTR,4.67766,Metformin 500mg modified-release tablets,168,51.51800955,-0.02460595
280,F84054,1,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Jul,7.9,93.33333,THE LIMEHOUSE PRACTICE,7.41312,Metformin 500mg tablets,280,51.5112472,-0.0287506
5964,F84747,213,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Jul,168.27,1988,THE BARKANTINE PRACTICE,160.27648,Metformin 500mg tablets,28,51.50071373,-0.025713573
2128,F84031,19,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Jul,154,1418.66667,THE JUBILEE STREET PRACTICE LTD,144.50275,Sukkarto SR 1000mg tablets,112,51.5135999,-0.05055
